#token,count,percentage
e,1479,0.15629293
a,825,0.08718166
t,749,0.07915038
i,686,0.07249287
s,677,0.07154179
r,641,0.06773750
l,602,0.06361619
n,578,0.06108000
u,573,0.06055162
o,464,0.04903308
d,344,0.03635211
p,294,0.03106837
m,263,0.02779246
c,257,0.02715841
v,153,0.01616823
é,130,0.01373771
q,108,0.01141287
b,104,0.01099017
f,92,0.00972208
g,88,0.00929938
à,75,0.00792561
h,66,0.00697453
j,48,0.00507239
y,37,0.00390997
è,25,0.00264187
x,24,0.00253619
ê,20,0.00211349
ç,17,0.00179647
z,11,0.00116242
ô,9,0.00095107
û,8,0.00084540
î,6,0.00063405
â,5,0.00052837
œ,4,0.00042270
ù,1,0.00010567
