#token,count,percentage
* *,38,0.01739130
of the,12,0.00549199
she was,12,0.00549199
it was,10,0.00457666
she had,8,0.00366133
a little,6,0.00274600
as she,6,0.00274600
that she,6,0.00274600
to be,6,0.00274600
to her,6,0.00274600
alice had,5,0.00228833
and she,5,0.00228833
i shall,5,0.00228833
in a,5,0.00228833
in the,5,0.00228833
into the,5,0.00228833
"it, and",5,0.00228833
like a,5,0.00228833
she found,5,0.00228833
she tried,5,0.00228833
there was,5,0.00228833
to get,5,0.00228833
"to herself,",5,0.00228833
was not,5,0.00228833
but it,4,0.00183066
not a,4,0.00183066
one of,4,0.00183066
out of,4,0.00183066
she could,4,0.00183066
the little,4,0.00183066
through the,4,0.00183066
when she,4,0.00183066
alice to,3,0.00137300
alice was,3,0.00137300
and when,3,0.00137300
at the,3,0.00137300
came upon,3,0.00137300
cats eat,3,0.00137300
could not,3,0.00137300
down a,3,0.00137300
down and,3,0.00137300
for she,3,0.00137300
get out,3,0.00137300
going to,3,0.00137300
if i,3,0.00137300
if you,3,0.00137300
no use,3,0.00137300
on the,3,0.00137300
see it,3,0.00137300
she came,3,0.00137300
she went,3,0.00137300
so she,3,0.00137300
that it,3,0.00137300
the rabbit,3,0.00137300
the right,3,0.00137300
the way,3,0.00137300
they were,3,0.00137300
to see,3,0.00137300
to the,3,0.00137300
tried to,3,0.00137300
under the,3,0.00137300
up like,3,0.00137300
upon a,3,0.00137300
was nothing,3,0.00137300
was too,3,0.00137300
was very,3,0.00137300
wonder what,3,0.00137300
would be,3,0.00137300
"you see,",3,0.00137300
a moment,2,0.00091533
a very,2,0.00091533
a watch,2,0.00091533
"after it,",2,0.00091533
all the,2,0.00091533
and found,2,0.00091533
and looked,2,0.00091533
and the,2,0.00091533
and then,2,0.00091533
and to,2,0.00091533
any rate,2,0.00091533
as it,2,0.00091533
at any,2,0.00091533
back to,2,0.00091533
be two,2,0.00091533
begun to,2,0.00091533
behind it,2,0.00091533
bottle was,2,0.00091533
but at,2,0.00091533
but the,2,0.00091533
candle is,2,0.00091533
dear! i,2,0.00091533
do cats,2,0.00091533
"door, she",2,0.00091533
down the,2,0.00091533
"down, down,",2,0.00091533
"down, down.",2,0.00091533
either the,2,0.00091533
even if,2,0.00091533
"for, you",2,0.00091533
found herself,2,0.00091533
found she,2,0.00091533
"golden key,",2,0.00091533
had got,2,0.00091533
had never,2,0.00091533
had no,2,0.00091533
had not,2,0.00091533
her great,2,0.00091533
her head,2,0.00091533
her own,2,0.00091533
her sister,2,0.00091533
herself in,2,0.00091533
how she,2,0.00091533
i can,2,0.00091533
i should,2,0.00091533
i think—”,2,0.00091533
i wish,2,0.00091533
i wonder,2,0.00091533
if it,2,0.00091533
in her,2,0.00091533
in time,2,0.00091533
it didn’t,2,0.00091533
it makes,2,0.00091533
it might,2,0.00091533
just in,2,0.00091533
"key, and",2,0.00091533
little door,2,0.00091533
little golden,2,0.00091533
looked at,2,0.00091533
makes me,2,0.00091533
"marked “poison,”",2,0.00091533
me grow,2,0.00091533
moment to,2,0.00091533
must be,2,0.00091533
no one,2,0.00091533
not remember,2,0.00091533
of a,2,0.00091533
off the,2,0.00091533
on it,2,0.00091533
"on it,",2,0.00091533
or longitude,2,0.00091533
out again.,2,0.00091533
out-of-the-way things,2,0.00091533
pictures or,2,0.00091533
"poor alice,",2,0.00091533
rabbit was,2,0.00091533
rabbit with,2,0.00091533
round the,2,0.00091533
said alice,2,0.00091533
saying to,2,0.00091533
seemed quite,2,0.00091533
she fell,2,0.00091533
she felt,2,0.00091533
she looked,2,0.00091533
she very,2,0.00091533
so _very_,2,0.00091533
so alice,2,0.00091533
soon finished,2,0.00091533
sort of,2,0.00091533
such a,2,0.00091533
that alice,2,0.00091533
the fall,2,0.00091533
the rabbit-hole,2,0.00091533
"the table,",2,0.00091533
the top,2,0.00091533
the words,2,0.00091533
think me,2,0.00091533
thought alice,2,0.00091533
thought poor,2,0.00091533
time to,2,0.00091533
to hear,2,0.00091533
to look,2,0.00091533
to say,2,0.00091533
to think,2,0.00091533
top of,2,0.00091533
up by,2,0.00091533
use in,2,0.00091533
very soon,2,0.00091533
was a,2,0.00091533
was all,2,0.00091533
was going,2,0.00091533
was just,2,0.00091533
was no,2,0.00091533
was now,2,0.00091533
went alice,2,0.00091533
went back,2,0.00091533
what latitude,2,0.00091533
what the,2,0.00091533
which way,2,0.00091533
white rabbit,2,0.00091533
you ever,2,0.00091533
you know.,2,0.00091533
“and what,2,0.00091533
"“drink me,”",2,0.00091533
“i must,2,0.00091533
“i wonder,2,0.00091533
(alice had,1,0.00045767
